"score","patient"
10.4374322417916,"P0002-01-FAKE03-U133Plus-2.CEL"
-3.68197947093109,"P0008-01-FAKE04-U133Plus-2.CEL"
-16.7037359709203,"P0009-01-FAKE05-U133Plus-2.CEL"
-8.11415099049083,"P0010-01-FAKE06-U133Plus-2.CEL"
1.8721294983499,"P0015-01-A016-U133Plus-2.CEL"
-11.1743751584518,"P0016-01-A21-U133Plus-2.CEL"
0.287084804398418,"P0018-01-A30-U133Plus-2.CEL"
-2.96858230147442,"P0019-01-A40-U133Plus-2.CEL"
2.86119272522598,"P0025-01-A53-U133Plus-2.CEL"
-8.71461820452361,"P0029-01-A70-U133Plus-2.CEL"
-1.95262261031617,"P0030-01-A72-U133Plus-2.CEL"
24.3212900048419,"P0034-01-A113-U133Plus-2.CEL"
-0.407559257720834,"P0036-01-A120-U133Plus-2.CEL"
12.3106892649618,"P0037-01-A111-U133Plus-2.CEL"
3.5942637780277,"P0043-01-A153-U133Plus-2.CEL"
16.4625830420949,"P0048-01-A172-U133Plus-2.CEL"
27.0299825602574,"P0051-01-A185-U133Plus-2.CEL"
-3.67725127411804,"P0052-01-A180-U133Plus-2.CEL"
-5.59758641442271,"P0053-01-A209-U133Plus-2.CEL"
-5.59312331686648,"P0054-01-A194-U133Plus-2.CEL"
19.2947661212129,"P0055-01-A204-U133Plus-2.CEL"
4.44264649318963,"P0056-01-A211-U133Plus-2.CEL"
12.2041642999758,"P0057-01-A217-U133Plus-2.CEL"
-10.3006122612815,"P0061-01-A246-U133Plus-2.CEL"
-3.71270595708887,"P0063-01-A248-U133Plus-2.CEL"
-11.4264039230019,"P0065-01-A261-U133Plus-2.CEL"
-4.12393481660115,"P0066-01-A264-U133Plus-2.CEL"
2.87585015877895,"P0067-01-A274-U133Plus-2.CEL"
0.72144191446208,"P0069-01-A296-U133Plus-2.CEL"
-5.27490493886627,"P0075-01-A332-U133Plus-2.CEL"
-0.607614699876688,"P0077-01-A357-U133Plus-2.CEL"
-6.52088325050665,"P0079-01-A351-U133Plus-2.CEL"
-5.0987997423886,"P0083-01-A389-U133Plus-2.CEL"
4.38428465032195,"P0084-01-A629-U133Plus-2.CEL"
3.53509177769128,"P0085-01-A396-U133Plus-2.CEL"
-8.03450404702043,"P0090-01-A427-U133Plus-2.CEL"
-9.6728902036956,"P0091-01-A326-U133Plus-2.CEL"
15.3280214713544,"P0092-01-A353-U133Plus-2.CEL"
4.97331342771863,"P0095-01-A355-U133Plus-2.CEL"
-0.431025036429857,"P0096-01-A303-U133Plus-2.CEL"
1.57847615183554,"P0098-01-A308-U133Plus-2.CEL"
-11.9150868894371,"P0099-01-A425-U133Plus-2.CEL"
-15.6780048408784,"P1003-02-D033-U133Plus-2.CEL"
0.0131620555839935,"P0101-01-A383-U133Plus-2.CEL"
-5.8971435004045,"P1010-01-D039-U133Plus-2.CEL"
-9.1281754816698,"P1011-01-D025-U133Plus-2.CEL"
-2.50569027469277,"P1013-01-D098-U133Plus-2.CEL"
-8.90705116187071,"P1016-04-E483-U133Plus-2.CEL"
-5.37347093622691,"P1017-01-D092-U133Plus-2.CEL"
-5.16007005236445,"P0102-01-A388-U133Plus-2.CEL"
1.20331836762986,"P1023-01-D006-U133Plus-2.CEL"
12.3428923047108,"P1027-02-D051-U133Plus-2.CEL"
1.10267430674203,"P0103-01-A401-U133Plus-2.CEL"
3.27822417654012,"P0104-01-A366-U133Plus-2.CEL"
-5.04299751878566,"P1049-01-D097-U133Plus-2.CEL"
8.34482424194055,"P1052-01-D070-U133Plus-2.CEL"
-4.13466584443326,"P1053-02-D082-U133Plus-2.CEL"
-4.1538069156152,"P1055-03-D246-U133Plus-2.CEL"
7.89576790895515,"P1063-01-C981-U133Plus-2.CEL"
-12.6931452004621,"P1064-01-C986-U133Plus-2.CEL"
4.80095891545983,"P1065-01-D005-U133Plus-2.CEL"
-21.971220626628,"P1066-01-D115-U133Plus-2.CEL"
-12.5431396200505,"P1067-01-D131-U133Plus-2.CEL"
13.9423317558523,"P1068-01-D099-U133Plus-2.CEL"
-2.22182255195477,"P0107-01-A445-U133Plus-2.CEL"
-8.72486929476521,"P1070-01-D245-U133Plus-2.CEL"
-11.3708187366714,"P1077-02-D264-U133Plus-2.CEL"
-0.772579752353656,"P1079-02-D278-U133Plus-2.CEL"
40.9751650532562,"P1080-02-D300-U133Plus-2.CEL"
13.4048291397507,"P1081-02-D279-U133Plus-2.CEL"
-3.89911708479273,"P1086-01-D205-U133Plus-2.CEL"
31.8679888619511,"P1088-01-D251-U133Plus-2.CEL"
24.4831397667854,"P1092-01-D262-U133Plus-2.CEL"
-1.18306381735378,"P1093-01-D394-U133Plus-2.CEL"
-12.0774262094084,"P1094-01-D451-U133Plus-2.CEL"
5.1259438200589,"P1100-01-D431-U133Plus-2.CEL"
-19.9756163361736,"P1101-02-D459-U133Plus-2.CEL"
-0.181740358828947,"P0111-01-A403-U133Plus-2.CEL"
5.75389143697877,"P1112-01-D320-U133Plus-2.CEL"
2.00486216422225,"P1113-01-D323-U133Plus-2.CEL"
-9.35421732482808,"P1114-01-D342-U133Plus-2.CEL"
-6.75242324336457,"P1116-00-D453-U133Plus-2.CEL"
-1.5190908361106,"P1117-00-D346-U133Plus-2.CEL"
13.0310270600523,"P1118-00-D465-U133Plus-2.CEL"
-7.57054691418542,"P1119-01-D487-U133Plus-2.CEL"
-3.24350236785595,"P1120-01-C865-U133Plus-2.CEL"
-14.4366727342121,"P1121-01-D491-U133Plus-2.CEL"
-4.1940174136639,"P1122-00-D443-U133Plus-2.CEL"
2.67658965882107,"P1130-03-D440-U133Plus-2.CEL"
-9.65715144575396,"P1132-03-D485-U133Plus-2.CEL"
0.503471316893163,"P1138-02-D405-U133Plus-2.CEL"
8.95608780507064,"P1139-01-D229-U133Plus-2.CEL"
-7.3615827595485,"P1140-01-D331-U133Plus-2.CEL"
-2.77603468924025,"P1141-01-D334-U133Plus-2.CEL"
-11.3555910126112,"P1142-01-D343-U133Plus-2.CEL"
-10.0906652088189,"P1143-01-D215-U133Plus-2.CEL"
7.57794708136,"P1144-01-D361-U133Plus-2.CEL"
-0.121321479883809,"P1145-01-D422-U133Plus-2.CEL"
-3.99963943422103,"P1146-01-D263-U133Plus-2.CEL"
-13.1084376275848,"P1164-01-D505-U133Plus-2.CEL"
-3.95017100736998,"P1165-01-D454-U133Plus-2.CEL"
21.5950558150726,"P1166-01-D468-U133Plus-2.CEL"
9.99116236924026,"P1167-01-D486-U133Plus-2.CEL"
-4.19472039145892,"P1169-01-D553-U133Plus-2.CEL"
10.9900393257458,"P0117-01-A315-U133Plus-2.CEL"
4.67590375511105,"P1173-01-D516-U133Plus-2.CEL"
-5.79653679991686,"P1176-01-D600-U133Plus-2.CEL"
